"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"FESRUB"	1e-15	1e-15	0.00381470419159311	1e-15	1e-15	1e-15	-0.000368647295243193	1e-15	1e-15	-0.0177202525189041	0.000666103876678226	1e-15	1e-15	1e-15	1e-15	0.00615488899715627	0.00256010177964049	-0.0322920983363428	1e-15	1e-15	1e-15	-0.00927197448052898
"GALVER"	1e-15	0.00496068294227899	1e-15	1e-15	0.0190154810974003	1e-15	1e-15	1e-15	0.00176496893635763	1e-15	-0.00843748430262682	-0.00775307453403115	1e-15	1e-15	-0.00809490195397894	0.00759181405970011	-0.0100667095966101	1e-15	0.0355152041176447	1e-15	0.000109631277982476	-0.000235492226860803
"LEUVUL"	1e-15	-0.00344423336517172	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0022672308013308	1e-15	1e-15	-0.00634405788129726	1e-15	1e-15	1e-15	1e-15	1e-15	0.0253593290357936	-0.00418776720781308	1e-15	1e-15	-0.0413237840897171	-0.000228276519707356
"ONOREP"	1e-15	1e-15	1e-15	1e-15	-0.00457839692448975	1e-15	0.00618170563419339	0.00272082721804956	1e-15	9.08877970868424e-05	1e-15	-0.00733824995325213	-0.0217935187574781	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0195445643517008	1e-15	-0.00016444213162255
"PICECH"	1e-15	-0.00358125644376732	1e-15	1e-15	1e-15	-0.025548964810863	1e-15	1e-15	-0.00791345059594793	-0.00364227098312587	1e-15	-0.00219292625802073	1e-15	1e-15	-0.0094547843215495	0.0180307618630989	0.00361033197853387	-0.015588217458042	1e-15	0.00760935224809317	0.00685157297609226	0.0132084468526745
"PLALAN"	1e-15	-0.00161798404258367	1e-15	-0.0367745004350253	-0.00299233812868945	-0.00237604193576051	1e-15	-0.00101222228196715	1e-15	1e-15	0.00406439173930452	0.00461659251933398	-0.00925183385876626	1e-15	0.00683398261266006	0.0112108564682346	-0.00718342453347591	0.00816557870116589	-0.00370923087520303	-0.00962715511622624	0.00172123040926549	-0.00363361484287841
"POAANG"	1e-15	0.000289804104392619	-0.000273369793643399	0.00280547370974605	-0.00823042252164845	-0.00612426874683629	1e-15	-0.00314242370075484	-0.0129902752768054	0.000431888499701533	-0.0028082184656348	-0.00161261465955311	-0.00236117978047281	0.00700576171846959	0.00151476051151813	0.00112474278517717	-0.00363472954789755	-0.0105134351469897	1e-15	1e-15	0.0218894240834916	0.00471225360121127
"RANACR"	0.0162966452141523	0.000196000702847397	0.000611925009272346	-0.00611937592685559	-0.000824097902069002	0.0106499729202399	-0.000181527587922265	1e-15	1e-15	0.00993870645848297	-0.00442998951435823	-0.000885959753271224	0.0130293967274919	0.00409816194050702	1e-15	-0.00133208706200579	0.00651470433114299	0.00137201930828057	0.0079740221260393	0.00995884934550752	0.00146118580603983	4.90309990398112e-05
"RUMACE"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00438227196198948	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.00349875263299086	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00555401750863953	-0.00122286532942717
"SALPRA"	1e-15	-0.0033819823045778	1e-15	0.00551628853077417	1e-15	1e-15	0.00942029895162873	0.0048237448067241	-0.0165981862943736	-0.0101017948535155	-0.0217589974049134	1e-15	-0.00980626978154868	1e-15	1e-15	0.00982716525283223	1e-15	0.0167444590238773	1e-15	0.00875008311915181	1e-15	1e-15
"TAROFF"	1e-15	1e-15	-0.00141718551041178	0.00669281565330308	1e-15	-0.0403105106385515	-0.00155732728252618	1e-15	1e-15	1e-15	1e-15	-0.00621970371850599	1e-15	1e-15	1e-15	-0.00620316539719089	-0.00995812096958696	1e-15	-0.00560253229208292	1e-15	0.0258597031186922	0.0234501739704677
"TRIPRA"	1e-15	-0.00238100882942125	1e-15	1e-15	-0.0236427716061421	-0.0231828872687104	1e-15	1e-15	0.00893955042313667	-0.00109225630054289	-0.00321470367706246	0.00488613393464277	1e-15	-0.00238244183340334	1e-15	-0.00371176005021838	-0.00167306163674169	0.00355108662876859	0.000930884409888642	0.00911078935444383	0.0149406110065236	1e-15
